British (English) vernacular name,AviList international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,SEQ
Penduline Tit,Eurasian Penduline Tit,Remiz pendulinus,A,,,,3890
Blue Tit,Eurasian Blue Tit,Cyanistes caeruleus,AF,,,,3900
Great Tit,,Parus major,AF,,,,3910
Coal Tit,,Periparus ater,AF,,,,3920
Crested Tit,,Lophophanes cristatus,A,‡,,,3930
Marsh Tit,,Poecile palustris,A,,,,3940
Willow Tit,,Poecile montanus,A,‡,,,3950
Bearded Tit,Bearded Reedling,Panurus biarmicus,A,,,,3960
Woodlark,,Lullula arborea,AF,,,,3970
White-winged Lark,,Alauda leucoptera,A,†,,,3980
Skylark,Eurasian Skylark,Alauda arvensis,AF,,,,3990
Crested Lark,,Galerida cristata,AEF,†,,,4000
Shore Lark,Horned Lark,Eremophila alpestris,AF,‡,,,4010
Short-toed Lark,Greater Short-toed Lark,Calandrella brachydactyla,A,,,,4020
Bimaculated Lark,,Melanocorypha bimaculata,A,†,,,4030
Black Lark,,Melanocorypha yeltoniensis,A,†,,,4040
Calandra Lark,,Melanocorypha calandra,A,†,,,4050
Zitting Cisticola,,Cisticola juncidis,A,†,,,4060
Icterine Warbler,,Hippolais icterina,A,,,,4070
Melodious Warbler,,Hippolais polyglotta,A,,,,4080
Olive-tree Warbler,,Hippolais olivetorum,A,†,,,4090
Thick-billed Warbler,,Arundinax aedon,A,†,,,4100
Booted Warbler,,Iduna caligata,A,†,,,4110
Sykes's Warbler,,Iduna rama,A,†,,,4120
Eastern Olivaceous Warbler,,Iduna pallida,A,†,,,4130
Western Olivaceous Warbler,,Iduna opaca,A,†,,,4140
Sedge Warbler,,Acrocephalus schoenobaenus,AF,,,,4150
Aquatic Warbler,,Acrocephalus paludicola,A,†,,,4160
Paddyfield Warbler,,Acrocephalus agricola,A,†,,,4170
Blyth's Reed Warbler,,Acrocephalus dumetorum,A,,,,4180
Marsh Warbler,,Acrocephalus palustris,A,,,,4190
Reed Warbler,Common Reed Warbler,Acrocephalus scirpaceus,A,‡,,,4200
Great Reed Warbler,,Acrocephalus arundinaceus,A,†,,,4210
Pallas's Grasshopper Warbler,,Helopsaltes certhiola,A,†,,,4220
Lanceolated Warbler,,Locustella lanceolata,A,†,,,4230
River Warbler,,Locustella fluviatilis,A,†,,,4240
Savi's Warbler,,Locustella luscinioides,A,†,,,4250
Grasshopper Warbler,Common Grasshopper Warbler,Locustella naevia,A,‡,,,4260
Sand Martin,,Riparia riparia,AF,,,,4270
Tree Swallow,,Tachycineta bicolor,A,†,,,4280
Purple Martin,,Progne subis,A,†,,,4290
Crag Martin,Eurasian Crag Martin,Ptyonoprogne rupestris,AF,†,,,4300
Swallow,Barn Swallow,Hirundo rustica,AEF,,,,4310
House Martin,Western House Martin,Delichon urbicum,AF,,,,4320
Red-rumped Swallow,European Red-rumped Swallow,Cecropis rufula,A,,,,4330
Eastern Red-rumped Swallow,,Cecropis daurica,A,†,,,4340
American Cliff Swallow,,Petrochelidon pyrrhonota,A,†,,,4350
Long-tailed Tit,,Aegithalos caudatus,AF,‡,,,4360
Cetti's Warbler,,Cettia cetti,A,,,,4370
Wood Warbler,,Phylloscopus sibilatrix,A,,,,4380
Western Bonelli's Warbler,,Phylloscopus bonelli,A,†,,,4390
Eastern Bonelli's Warbler,,Phylloscopus orientalis,A,†,,,4400
Yellow-browed Warbler,,Phylloscopus inornatus,A,,,,4410
Hume's Warbler,Hume's Leaf Warbler,Phylloscopus humei,A,†,,,4420
Pallas's Warbler,Pallas's Leaf Warbler,Phylloscopus proregulus,A,,,,4430
Radde's Warbler,,Phylloscopus schwarzi,A,,,,4440
Sulphur-bellied Warbler,,Phylloscopus griseolus,A,†,,,4450
